"filename", "language", "Markdown", "Docker", "XML", "YAML", "Java", "comment", "blank", "total"
"c:\Users\syhie\IdeaProjects\onlinebiz\.github\workflows\build.yml", "YAML", 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\syhie\IdeaProjects\onlinebiz\.github\workflows\codeql-analysis.yml", "YAML", 0, 0, 0, 31, 0, 29, 13, 73
"c:\Users\syhie\IdeaProjects\onlinebiz\.github\workflows\test-coverage.yml", "YAML", 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\syhie\IdeaProjects\onlinebiz\.github\workflows\test_unit.yml", "YAML", 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\syhie\IdeaProjects\onlinebiz\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 8, 17
"c:\Users\syhie\IdeaProjects\onlinebiz\SECURITY.md", "Markdown", 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\pom.xml", "XML", 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\EntrustDto.java", "Java", 0, 0, 0, 0, 15, 6, 10, 31
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\PageResult.java", "Java", 0, 0, 0, 0, 14, 5, 9, 28
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\PartyDetail.java", "Java", 0, 0, 0, 0, 24, 16, 19, 59
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\Role.java", "Java", 0, 0, 0, 0, 11, 9, 11, 31
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\Software.java", "Java", 0, 0, 0, 0, 50, 32, 39, 121
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\UserDto.java", "Java", 0, 0, 0, 0, 13, 0, 8, 21
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract\Contract.java", "Java", 0, 0, 0, 0, 28, 19, 22, 69
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract\ContractStage.java", "Java", 0, 0, 0, 0, 11, 9, 11, 31
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract\ContractStatus.java", "Java", 0, 0, 0, 0, 11, 3, 6, 20
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract\NonDisclosureAgreement.java", "Java", 0, 0, 0, 0, 11, 2, 6, 19
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\Entrust.java", "Java", 0, 0, 0, 0, 39, 12, 16, 67
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustContent.java", "Java", 0, 0, 0, 0, 21, 10, 14, 45
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustOutline.java", "Java", 0, 0, 0, 0, 36, 10, 14, 60
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustQuote.java", "Java", 0, 0, 0, 0, 32, 19, 24, 75
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustReview.java", "Java", 0, 0, 0, 0, 16, 7, 11, 34
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustStage.java", "Java", 0, 0, 0, 0, 14, 12, 14, 40
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustStatus.java", "Java", 0, 0, 0, 0, 11, 2, 6, 19
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\SoftwareDocReview.java", "Java", 0, 0, 0, 0, 26, 12, 18, 56
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\sample\Sample.java", "Java", 0, 0, 0, 0, 16, 5, 3, 24
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\sample\SampleCollection.java", "Java", 0, 0, 0, 0, 18, 6, 4, 28
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\sample\SampleCollectionStage.java", "Java", 0, 0, 0, 0, 7, 5, 3, 15
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\Project.java", "Java", 0, 0, 0, 0, 16, 8, 7, 31
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectBaseInfo.java", "Java", 0, 0, 0, 0, 29, 8, 7, 44
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectFormIds.java", "Java", 0, 0, 0, 0, 19, 9, 5, 33
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectOutline.java", "Java", 0, 0, 0, 0, 25, 7, 6, 38
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectStage.java", "Java", 0, 0, 0, 0, 18, 19, 16, 53
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectStatus.java", "Java", 0, 0, 0, 0, 11, 2, 5, 18
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\report\Report.java", "Java", 0, 0, 0, 0, 64, 42, 8, 114
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\report\SoftwareEnvironment.java", "Java", 0, 0, 0, 0, 14, 3, 3, 20
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\report\TestContent.java", "Java", 0, 0, 0, 0, 14, 3, 3, 20
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\review\EntrustTestReview.java", "Java", 0, 0, 0, 0, 24, 13, 4, 41
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\review\ReportReview.java", "Java", 0, 0, 0, 0, 26, 12, 4, 42
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\review\SchemeReview.java", "Java", 0, 0, 0, 0, 28, 34, 11, 73
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme\Modification.java", "Java", 0, 0, 0, 0, 18, 5, 4, 27
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme\Schedule.java", "Java", 0, 0, 0, 0, 15, 3, 3, 21
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme\Scheme.java", "Java", 0, 0, 0, 0, 17, 6, 10, 33
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme\SchemeContent.java", "Java", 0, 0, 0, 0, 32, 22, 4, 58
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testcase\Testcase.java", "Java", 0, 0, 0, 0, 27, 12, 15, 54
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testissue\TestIssueList.java", "Java", 0, 0, 0, 0, 29, 14, 17, 60
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testrecord\TestRecordList.java", "Java", 0, 0, 0, 0, 34, 19, 22, 75
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\pom.xml", "XML", 0, 0, 82, 0, 0, 0, 14, 96
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\ContractServiceApplication.java", "Java", 0, 0, 0, 0, 9, 0, 5, 14
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\configuration\ContractServiceConfiguration.java", "Java", 0, 0, 0, 0, 15, 0, 5, 20
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\controller\ContractController.java", "Java", 0, 0, 0, 0, 125, 12, 19, 156
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\controller\ContractControllerAdvice.java", "Java", 0, 0, 0, 0, 64, 0, 12, 76
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\dao\ContractDAO.java", "Java", 0, 0, 0, 0, 15, 54, 13, 82
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\dao\MongoContractDAO.java", "Java", 0, 0, 0, 0, 79, 4, 17, 100
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractCreateFailureException.java", "Java", 0, 0, 0, 0, 6, 0, 4, 10
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractDAOFailureException.java", "Java", 0, 0, 0, 0, 6, 0, 4, 10
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractInvalidStageException.java", "Java", 0, 0, 0, 0, 6, 0, 4, 10
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractNotFoundException.java", "Java", 0, 0, 0, 0, 6, 0, 4, 10
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractPermissionDeniedException.java", "Java", 0, 0, 0, 0, 6, 0, 4, 10
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\service\ContractService.java", "Java", 0, 0, 0, 0, 23, 95, 18, 136
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\service\DefaultContractService.java", "Java", 0, 0, 0, 0, 302, 25, 26, 353
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\resources\application-dev.yml", "YAML", 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\resources\application-prod.yml", "YAML", 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\resources\application.yml", "YAML", 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\test\java\com\njustc\onlinebiz\contract\DefaultContractServiceTest.java", "Java", 0, 0, 0, 0, 299, 0, 54, 353
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\test\java\com\njustc\onlinebiz\contract\MongoContractDAOIT.java", "Java", 0, 0, 0, 0, 130, 0, 25, 155
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-discovery\pom.xml", "XML", 0, 0, 26, 0, 0, 0, 6, 32
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-discovery\src\main\java\com\njustc\onlinebiz\discovery\DiscoveryServiceApplication.java", "Java", 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-discovery\src\main\resources\application.yml", "YAML", 0, 0, 0, 14, 0, 1, 3, 18
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\pom.xml", "XML", 0, 0, 109, 0, 0, 0, 18, 127
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\DocumentServiceApplication.java", "Java", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\configuration\DocConfig.java", "Java", 0, 0, 0, 0, 14, 0, 5, 19
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\controller\DownloadController.java", "Java", 0, 0, 0, 0, 202, 121, 22, 345
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\controller\DownloadControllerAdvice.java", "Java", 0, 0, 0, 0, 35, 22, 8, 65
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\dao\OSSProvider.java", "Java", 0, 0, 0, 0, 40, 16, 7, 63
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\exception\DownloadDAOFailureException.java", "Java", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\exception\DownloadNotFoundException.java", "Java", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\exception\DownloadPermissionDeniedException.java", "Java", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\EntrustQuoteDoc.java", "Java", 0, 0, 0, 0, 47, 12, 6, 65
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS002.java", "Java", 0, 0, 0, 0, 481, 20, 22, 523
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS003\GongNeng.java", "Java", 0, 0, 0, 0, 35, 0, 7, 42
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS003\JS003.java", "Java", 0, 0, 0, 0, 78, 2, 14, 94
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS003\ZiGongNeng.java", "Java", 0, 0, 0, 0, 24, 0, 6, 30
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS004.java", "Java", 0, 0, 0, 0, 111, 5, 12, 128
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS005.java", "Java", 0, 0, 0, 0, 35, 2, 5, 42
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS006.java", "Java", 0, 0, 0, 0, 131, 1, 5, 137
"c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS007.java", "Java", 0, 0, 0, 0, 218, 3, 25, 246
