Date : 2022-07-09 13:57:37
Directory : c:\Users\syhie\IdeaProjects\onlinebiz
Total : 301 files,  20917 codes, 4062 comments, 3510 blanks, all 28489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        261 |     19,759 |      4,018 |      3,289 |     27,066 |
| XML      |         11 |        738 |          9 |        129 |        876 |
| YAML     |         25 |        390 |         35 |         71 |        496 |
| Markdown |          2 |         24 |          0 |         15 |         39 |
| Docker   |          2 |          6 |          0 |          6 |         12 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                          |        301 |     20,917 |      4,062 |      3,510 |     28,489 |
| .github                                                                                                                                                    |          4 |         79 |         29 |         25 |        133 |
| .github\workflows                                                                                                                                          |          4 |         79 |         29 |         25 |        133 |
| onlinebiz-common                                                                                                                                           |         41 |        902 |        442 |        427 |      1,771 |
| onlinebiz-common\src                                                                                                                                       |         40 |        884 |        442 |        422 |      1,748 |
| onlinebiz-common\src\main                                                                                                                                  |         40 |        884 |        442 |        422 |      1,748 |
| onlinebiz-common\src\main\java                                                                                                                             |         40 |        884 |        442 |        422 |      1,748 |
| onlinebiz-common\src\main\java\com                                                                                                                         |         40 |        884 |        442 |        422 |      1,748 |
| onlinebiz-common\src\main\java\com\njustc                                                                                                                  |         40 |        884 |        442 |        422 |      1,748 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz                                                                                                        |         40 |        884 |        442 |        422 |      1,748 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common                                                                                                 |         40 |        884 |        442 |        422 |      1,748 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model                                                                                           |         40 |        884 |        442 |        422 |      1,748 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\contract                                                                                  |          4 |         61 |         33 |         45 |        139 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust                                                                                   |          8 |        195 |         84 |        117 |        396 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\sample                                                                                    |          3 |         41 |         16 |         10 |         67 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test                                                                                      |         19 |        460 |        241 |        154 |        855 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project                                                                              |          6 |        118 |         53 |         46 |        217 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\report                                                                               |          3 |         92 |         48 |         14 |        154 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\review                                                                               |          3 |         78 |         59 |         19 |        156 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme                                                                               |          4 |         82 |         36 |         21 |        139 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testcase                                                                             |          1 |         27 |         12 |         15 |         54 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testissue                                                                            |          1 |         29 |         14 |         17 |         60 |
| onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testrecord                                                                           |          1 |         34 |         19 |         22 |         75 |
| onlinebiz-contract                                                                                                                                         |         19 |      1,208 |        190 |        233 |      1,631 |
| onlinebiz-contract\src                                                                                                                                     |         18 |      1,126 |        190 |        219 |      1,535 |
| onlinebiz-contract\src\main                                                                                                                                |         16 |        697 |        190 |        140 |      1,027 |
| onlinebiz-contract\src\main\java                                                                                                                           |         13 |        662 |        190 |        135 |        987 |
| onlinebiz-contract\src\main\java\com                                                                                                                       |         13 |        662 |        190 |        135 |        987 |
| onlinebiz-contract\src\main\java\com\njustc                                                                                                                |         13 |        662 |        190 |        135 |        987 |
| onlinebiz-contract\src\main\java\com\njustc\onlinebiz                                                                                                      |         13 |        662 |        190 |        135 |        987 |
| onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract                                                                                             |         13 |        662 |        190 |        135 |        987 |
| onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\configuration                                                                               |          1 |         15 |          0 |          5 |         20 |
| onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\controller                                                                                  |          2 |        189 |         12 |         31 |        232 |
| onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\dao                                                                                         |          2 |         94 |         58 |         30 |        182 |
| onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception                                                                                   |          5 |         30 |          0 |         20 |         50 |
| onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\service                                                                                     |          2 |        325 |        120 |         44 |        489 |
| onlinebiz-contract\src\main\resources                                                                                                                      |          3 |         35 |          0 |          5 |         40 |
| onlinebiz-contract\src\test                                                                                                                                |          2 |        429 |          0 |         79 |        508 |
| onlinebiz-contract\src\test\java                                                                                                                           |          2 |        429 |          0 |         79 |        508 |
| onlinebiz-contract\src\test\java\com                                                                                                                       |          2 |        429 |          0 |         79 |        508 |
| onlinebiz-contract\src\test\java\com\njustc                                                                                                                |          2 |        429 |          0 |         79 |        508 |
| onlinebiz-contract\src\test\java\com\njustc\onlinebiz                                                                                                      |          2 |        429 |          0 |         79 |        508 |
