GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlinebiz-document,com.njustc.onlinebiz.doc.controller,DownloadControllerAdvice,24,7,0,0,6,2,3,2,3,2
onlinebiz-document,com.njustc.onlinebiz.doc.controller,DownloadController,274,51,0,0,31,18,15,1,15,1
onlinebiz-document,com.njustc.onlinebiz.doc.model.JS003,ZiGongNeng,134,21,22,0,6,5,19,3,8,3
onlinebiz-document,com.njustc.onlinebiz.doc.model.JS003,JS003,241,75,46,0,22,20,30,11,7,11
onlinebiz-document,com.njustc.onlinebiz.doc.model.JS003,GongNeng,158,27,24,0,10,6,20,4,8,4
onlinebiz-document,com.njustc.onlinebiz.doc.dao,OSSProvider,14,71,1,3,2,14,1,3,0,2
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS008,29,461,2,4,3,75,2,6,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS009,29,636,2,4,3,88,2,6,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS006,29,1493,2,4,14,289,2,6,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS007,32,2344,2,24,16,367,2,18,0,7
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS004,35,1868,2,2,14,329,2,9,0,9
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS005,29,803,2,2,3,92,2,5,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS002,32,3839,4,4,14,344,4,6,0,6
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS003,29,468,2,6,3,76,2,7,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS001,29,320,2,2,3,62,2,4,0,4
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS013,29,1020,2,2,3,125,2,5,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS014,29,2103,2,2,14,226,2,5,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceEntrustQuote,32,600,2,4,16,110,2,6,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS011,29,497,2,4,3,77,2,6,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS012,29,1651,2,2,14,180,2,5,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,DocServiceJS010,29,1125,2,2,14,136,2,5,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.service,RestRequestService,176,470,44,64,36,91,33,33,3,9
onlinebiz-document,com.njustc.onlinebiz.doc,DocumentServiceApplication,5,3,0,0,2,1,1,1,1,1
onlinebiz-document,com.njustc.onlinebiz.doc.configuration,DocConfig,0,7,0,0,0,2,0,2,0,2
onlinebiz-document,com.njustc.onlinebiz.doc.util,ItextUtils,425,886,21,37,113,214,22,32,10,15
onlinebiz-document,com.njustc.onlinebiz.doc.util,HeaderFooter,9,276,0,10,4,57,0,10,0,5
onlinebiz-document,com.njustc.onlinebiz.doc.exception,DownloadNotFoundException,0,4,0,0,0,2,0,1,0,1
onlinebiz-document,com.njustc.onlinebiz.doc.exception,DownloadPermissionDeniedException,0,4,0,0,0,2,0,1,0,1
onlinebiz-document,com.njustc.onlinebiz.doc.exception,DownloadDAOFailureException,0,4,0,0,0,2,0,1,0,1
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS002,6961,1463,1302,0,296,135,659,266,8,266
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS004,1673,355,316,0,63,34,164,65,6,65
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS009,103,16,18,0,8,3,15,3,6,3
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS006,1244,255,230,0,71,24,121,45,6,45
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS005,160,25,32,0,14,4,23,5,7,5
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS008,103,16,18,0,8,3,15,3,6,3
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS007,3331,666,616,0,134,61,316,117,8,117
onlinebiz-document,com.njustc.onlinebiz.doc.model,EntrustQuoteDoc,565,101,108,0,18,13,63,24,9,24
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS013,1114,223,212,0,39,22,112,41,6,41
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS012,1894,410,316,0,48,39,165,75,7,75
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS014,3872,828,616,0,86,77,315,151,7,151
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS011,103,16,18,0,8,3,15,3,6,3
onlinebiz-document,com.njustc.onlinebiz.doc.model,JS010,900,179,172,0,27,18,92,33,6,33
