GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlinebiz-sample,com.njustc.onlinebiz.sample.configuration,SampleServiceConfiguration,7,0,0,0,2,0,2,0,2,0
onlinebiz-sample,com.njustc.onlinebiz.sample,SampleServiceApplication,8,0,0,0,3,0,2,0,2,0
onlinebiz-sample,com.njustc.onlinebiz.sample.exception,SampleInvalidStageException,0,4,0,0,0,1,0,1,0,1
onlinebiz-sample,com.njustc.onlinebiz.sample.exception,SampleDAOFailureException,0,4,0,0,0,1,0,1,0,1
onlinebiz-sample,com.njustc.onlinebiz.sample.exception,SampleNotFoundException,0,4,0,0,0,1,0,1,0,1
onlinebiz-sample,com.njustc.onlinebiz.sample.exception,SampleInvalidArgumentException,0,4,0,0,0,1,0,1,0,1
onlinebiz-sample,com.njustc.onlinebiz.sample.exception,SamplePermissionDeniedException,0,4,0,0,0,1,0,1,0,1
onlinebiz-sample,com.njustc.onlinebiz.sample.controller,SampleControllerAdvice,47,0,0,0,12,0,7,0,7,0
onlinebiz-sample,com.njustc.onlinebiz.sample.controller,SampleController,36,0,0,0,8,0,5,0,5,0
onlinebiz-sample,com.njustc.onlinebiz.sample.dao,MongoSampleDAO,176,0,8,0,29,0,14,0,10,0
onlinebiz-sample,com.njustc.onlinebiz.sample.service,DefaultSampleService,8,199,5,27,3,44,5,17,0,6
